City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Cidreira,BR,-30.18,-50.21,64.98,63,28,8.59,scattered clouds
225,Constitucion,CL,-35.33,-72.42,57.92,76,61,8.48,broken clouds
226,Biltine,TD,14.53,20.92,82.09,27,42,8.28,scattered clouds
227,Arman,RU,59.7,150.17,30.22,94,100,7.27,overcast clouds
228,Bandarbeyla,SO,9.49,50.81,77.11,75,0,19.98,clear sky
229,Pingzhuang,CN,42.04,119.29,30.83,75,0,6.26,clear sky
230,Windhoek,NA,-22.56,17.08,75.2,11,51,2.24,broken clouds
231,Morris,US,40.83,-74.53,53.01,96,100,1.99,overcast clouds
232,La Palma,US,33.85,-118.05,84.0,34,1,3.36,clear sky
233,Nemuro,JP,43.32,145.57,56.34,86,100,22.03,light rain
234,Treinta Y Tres,UY,-33.23,-54.38,66.13,64,0,5.19,clear sky
235,Upernavik,GL,72.79,-56.15,16.57,93,96,4.38,overcast clouds
236,Mazyr,BY,52.05,29.25,43.86,87,98,7.09,overcast clouds
237,Mayo,US,38.89,-76.51,60.8,87,40,5.82,scattered clouds
238,Nhulunbuy,AU,-12.23,136.77,73.4,88,46,3.36,scattered clouds
239,Tarko-Sale,RU,64.92,77.78,30.65,97,93,20.65,overcast clouds
240,Gravdal,NO,68.12,13.5,50.0,66,75,27.51,broken clouds
241,Sitka,US,57.05,-135.33,46.4,87,90,4.7,moderate rain
242,Atlantic City,US,39.36,-74.42,59.0,100,90,4.7,light rain
243,Carnarvon,AU,-24.87,113.63,68.0,64,40,18.34,scattered clouds
244,Opuwo,NA,-18.06,13.84,73.08,30,53,6.8,broken clouds
245,Mount Gambier,AU,-37.83,140.77,50.0,93,57,5.82,broken clouds
246,Naucalpan,MX,19.48,-99.24,71.6,34,45,16.51,scattered clouds
247,Zigong,CN,29.34,104.78,59.38,67,100,0.87,light rain
248,Bilma,NE,18.69,12.92,73.04,23,0,6.98,clear sky
249,Ostrovnoy,RU,68.05,39.51,37.13,92,100,21.43,overcast clouds
250,Kodiak,US,57.79,-152.41,30.2,58,90,13.87,light snow
251,Lahan,NP,26.73,86.5,72.97,73,65,2.66,broken clouds
252,Shubarkuduk,KZ,49.14,56.49,48.11,50,54,6.24,broken clouds
253,Airai,TL,-8.93,125.41,60.39,78,98,2.35,overcast clouds
254,Raudeberg,NO,61.99,5.14,48.0,87,100,27.11,light rain
255,Amarante Do Maranhao,BR,-5.57,-46.74,85.62,48,71,2.01,broken clouds
256,Grindavik,IS,63.84,-22.43,35.6,75,75,6.93,broken clouds
257,Truro,GB,50.27,-5.05,60.8,93,100,32.21,overcast clouds
258,Umm Lajj,SA,25.02,37.27,79.48,59,45,2.95,scattered clouds
259,Igarka,RU,67.47,86.58,19.67,97,100,10.69,light snow
260,Ola,RU,59.58,151.28,29.52,93,100,9.35,overcast clouds
261,Iberia,US,29.95,-91.75,75.2,44,1,17.22,clear sky
262,Amazar,RU,53.86,120.88,9.07,78,100,11.07,overcast clouds
263,Jacareacanga,BR,-6.22,-57.75,75.04,96,97,6.24,heavy intensity rain
264,Manokwari,ID,-0.87,134.08,82.33,68,100,4.16,moderate rain
265,Kamenka,RU,51.32,42.77,41.7,79,12,8.37,few clouds
266,Buala,SB,-8.14,159.59,83.5,75,91,6.13,overcast clouds
267,Festus,US,38.22,-90.4,52.0,34,0,14.79,clear sky
268,Saint-Francois,FR,46.42,3.91,66.2,68,75,9.17,broken clouds
269,Pereslavl-Zalesskiy,RU,56.74,38.86,38.66,88,100,8.77,overcast clouds
270,Ornskoldsvik,SE,63.29,18.72,44.6,100,100,24.16,moderate rain
271,Chapais,CA,49.78,-74.85,32.0,99,90,11.41,light snow
272,Lasa,IT,46.62,10.7,50.0,66,75,4.7,broken clouds
273,Rundu,NA,-17.93,19.77,79.09,27,64,4.63,broken clouds
274,Aklavik,CA,68.22,-135.01,17.6,72,75,6.93,broken clouds
275,Bandipur,NP,27.93,84.42,58.62,84,9,2.04,clear sky
276,Lagoa,PT,39.05,-27.98,63.05,83,100,21.27,light rain
277,Kavaratti,IN,10.57,72.64,81.66,70,0,3.6,clear sky
278,Catalina Foothills,US,32.3,-110.92,91.0,15,20,13.87,few clouds
279,Ati,TD,13.22,18.34,86.95,22,22,14.47,few clouds
280,Beringovskiy,RU,63.05,179.32,23.54,96,100,4.0,overcast clouds
281,Kumluca,TR,36.37,30.29,68.07,40,50,3.87,scattered clouds
282,Atherton,GB,53.52,-2.49,63.0,82,100,5.01,moderate rain
